date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:40:03	92782/92782	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jun%202025%2009:50:30%20GMT	https://cafe-nine-fifty/product/chai-tea	G:/hotels/rahi%20cafe/cafe-nine-fifty/product/chai-tea.html	(from https://cafe-nine-fifty/home)
17:40:04	6427/6427	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2023%20Jun%202025%2012:10:03%20GMT	https://cafe-nine-fifty/%22https://cdn.prod.website-files.com/674fe3426befc8d5220fd7ea%2F677fb4b400fe7b2a8798ac4e_Coffe%20Video%20CTA-poster-00001.jpg%22	G:/hotels/rahi%20cafe/cafe-nine-fifty/_https_/cdn.prod.website-files.com/674fe3426befc8d5220fd7ea/677fb4b400fe7b2a8798ac4e_Coffe%20Video%20CTA-poster-00001.jpg_	(from https://cafe-nine-fifty/home)
17:40:04	30144/30144	---M--	200	added ('OK')	image/jpeg	etag:%22db634e51e34c51ed1d085b919e32b16f%22	https://cdn.prod.website-files.com/674fe3426befc8d5220fd7ea%2F677fb4b400fe7b2a8798ac4e_Coffe%20Video%20CTA-poster-00001.jpg	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/674fe3426befc8d5220fd7ea/677fb4b400fe7b2a8798ac4e_Coffe%20Video%20CTA-poster-00001.jpg	(from https://cafe-nine-fifty/home)
17:40:05	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=67b83dd4545a3f3f932c754c	G:/hotels/rahi%20cafe/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8e983.js	(from https://cafe-nine-fifty/home)
17:40:05	865837/865837	---MCZ	200	added ('OK')	text/javascript	etag:W/%221cd3f3f10dcd7f4bff343f2c7cb40153%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.schunk.fff53afd84f32829.js	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.schunk.fff53afd84f32829.js	(from https://cafe-nine-fifty/home)
17:40:06	569140/569140	---MCZ	200	added ('OK')	text/javascript	etag:W/%22c76219d949f13210a14a4f82a1997151%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.schunk.5e97b012b6732425.js	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.schunk.5e97b012b6732425.js	(from https://cafe-nine-fifty/home)
17:40:06	5672/5672	---MCZ	200	added ('OK')	text/javascript	etag:W/%2257c1d325d1aa9da9621f7133be0bbdd2%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.7c53b68d.3231cad98599c6b0.js	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.7c53b68d.3231cad98599c6b0.js	(from https://cafe-nine-fifty/home)
17:40:06	35848/35848	---M--	200	added ('OK')	image/png	etag:%2295228ed67abe2df7ae5771b2b3ea121e%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/67b83dd4545a3f3f932c767a_Global%20Bg.png	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/67b83dd4545a3f3f932c767a_Global%20Bg.png	(from https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/css/brewfye-template.webflow.e4ef8d24c.css)
17:40:07	2588/2588	---MCZ	200	added ('OK')	text/javascript	etag:W/%22ecc9940ac09d4dc23410ac23b36b7885%22	https://cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.5b6f5c6e.ee23dfb2ac04b28b.js	G:/hotels/rahi%20cafe/cdn.prod.website-files.com/67b83dd4545a3f3f932c754c/js/webflow.5b6f5c6e.ee23dfb2ac04b28b.js	(from https://cafe-nine-fifty/checkout)
17:40:07	6427/6427	---M--	502	error ('Bad%20Gateway')	text/html	date:Mon,%2023%20Jun%202025%2012:10:07%20GMT	https://cafe-nine-fifty/%22https://cdn.prod.website-files.com/674fe3426befc8d5220fd7ea%2F677f5b55c1710e6acd65c8e9_About%20Video-poster-00001.jpg%22	G:/hotels/rahi%20cafe/cafe-nine-fifty/_https_/cdn.prod.website-files.com/674fe3426befc8d5220fd7ea/677f5b55c1710e6acd65c8e9_About%20Video-poster-00001.jpg_	(from https://cafe-nine-fifty/about)
